gqid,modis_lst_mod11c3_061_night_annual_mean.2000.mean,modis_lst_mod11c3_061_night_annual_mean.2001.mean,modis_lst_mod11c3_061_night_annual_mean.2002.mean,modis_lst_mod11c3_061_night_annual_mean.2003.mean,modis_lst_mod11c3_061_night_annual_mean.2004.mean,modis_lst_mod11c3_061_night_annual_mean.2005.mean,modis_lst_mod11c3_061_night_annual_mean.2006.mean,modis_lst_mod11c3_061_night_annual_mean.2007.mean,modis_lst_mod11c3_061_night_annual_mean.2008.mean,modis_lst_mod11c3_061_night_annual_mean.2009.mean,modis_lst_mod11c3_061_night_annual_mean.2010.mean,modis_lst_mod11c3_061_night_annual_mean.2011.mean,modis_lst_mod11c3_061_night_annual_mean.2012.mean,modis_lst_mod11c3_061_night_annual_mean.2013.mean,modis_lst_mod11c3_061_night_annual_mean.2014.mean,modis_lst_mod11c3_061_night_annual_mean.2015.mean,modis_lst_mod11c3_061_night_annual_mean.2016.mean,modis_lst_mod11c3_061_night_annual_mean.2017.mean,modis_lst_mod11c3_061_night_annual_mean.2018.mean,modis_lst_mod11c3_061_night_annual_mean.2019.mean,modis_lst_mod11c3_061_night_annual_mean.2020.mean,modis_lst_mod11c3_061_night_annual_mean.2021.mean,modis_lst_mod11c3_061_night_annual_mean.2022.mean,modis_lst_mod11c3_061_night_annual_mean.2023.mean
0,285.112391,285.6467093,285.9246729,285.9110272,285.4328924,285.9800484,285.80577,285.5677295,285.3750496,285.6399367,286.0042326,285.4564316,285.6315011,285.6620542,285.9380297,285.9943639,286.1660923,285.8719728,285.5086817,286.2722231,286.3756037,285.7616236,285.6233137,286.6107725
1,292.9255219,293.2587106,293.5195495,293.5634214,293.0528938,293.6265913,293.5868478,293.5908446,293.1746118,293.0671882,293.3477934,293.2291626,293.2770692,293.1807906,293.5213774,293.9984717,294.3196497,293.7942072,293.4169161,293.9439889,293.816359,293.5507854,293.4137427,294.3456295
2,291.9688866,292.7196927,292.9403446,292.768737,292.0628228,292.5632291,292.710582,292.5932064,292.5029565,292.5440945,292.399759,292.153397,292.5186837,292.6751423,292.9918059,293.2258398,292.9545367,292.8206271,292.3759728,293.2367462,293.2076223,292.6334956,292.6498795,293.5615039
3,292.3687317,292.7582168,293.1006987,293.2780348,292.9742281,293.4763422,293.2062358,293.1943448,292.9296342,293.0966938,293.2712359,292.9564173,293.029236,293.1779036,293.3449263,293.619569,293.866916,293.4173287,293.0146614,293.5384838,293.6696994,293.4607032,293.3980538,294.2316551
4,292.7515507,293.4233657,293.455692,293.802481,293.463161,293.5412882,293.7052998,293.7209239,293.2976722,293.37447,293.474555,293.2084294,293.4478244,293.4750427,293.4509288,293.8304319,293.8492276,293.4756819,293.256894,293.9366908,294.1660853,293.8567281,293.5438956,294.3541269
5,292.0543455,292.6494635,292.855232,292.8488681,292.3013215,292.5822493,292.8008766,292.7077973,292.4580717,292.462527,292.4822946,292.3007885,292.5981581,292.753811,292.877507,293.171381,293.2069757,292.8760657,292.4838839,293.1404329,293.4232453,292.8356481,292.7529512,293.6992888
6,292.7946558,293.4688975,293.7679408,293.6140406,292.8662775,293.0842193,293.4956241,293.4408296,293.254049,293.2462948,293.2288506,293.1754442,293.3996669,293.7349548,294.0240999,294.2710284,294.024736,293.6386844,293.6305439,294.4082586,294.3158529,293.808707,293.917496,294.5927028
7,292.5848977,293.2573199,293.613361,293.5614697,292.8912526,292.9621816,293.3602988,293.2840125,293.0438108,293.188562,293.2241042,293.0260951,293.2916473,293.3959196,293.7672948,294.0343095,294.0212363,293.555732,293.3162756,293.9741307,294.0429024,293.4873238,293.5661416,294.2225255
8,294.3203756,294.7898651,295.5396612,295.2951945,294.6513405,294.4542533,294.3759912,294.7052307,294.4689708,294.4798137,294.3555166,294.4194353,294.937341,295.3039629,295.7296745,296.0267097,295.7134249,294.9576415,295.0259238,295.8210832,296.0169158,296.3143096,295.9486519,296.5255037
9,292.8490021,293.1737447,293.3704216,293.5185436,293.3110141,293.6454825,293.1143757,293.3586407,293.1746486,293.0682114,293.6875282,293.5995665,293.5048578,293.9347519,293.9083338,294.3506303,294.3763609,293.8944577,293.5093128,293.7955668,294.1326403,293.7524777,293.785138,294.3457247
10,292.9419343,293.2091062,293.5233116,293.4196592,293.2793171,293.258253,293.3552569,293.5783228,293.1896077,293.5132511,293.8563107,293.4755035,293.4850011,293.6083223,293.666542,293.9849678,293.856702,293.4386981,293.2528695,293.5378845,294.0385504,293.9002565,293.6640767,294.1797549
11,293.3648188,293.8216356,294.298829,294.3440216,293.5765669,293.895461,293.9118126,294.0942385,293.919389,293.9158849,294.1382931,293.8969422,293.9837861,294.1838471,294.5693816,295.0406402,294.8304831,294.5826447,294.415643,294.8021372,294.8884734,294.4224818,294.3432403,295.3510761
12,288.7786353,289.1968528,289.5393279,289.6384676,289.3336598,289.6586887,289.6326733,289.3835468,289.2203351,289.4093431,289.6255561,289.3071794,289.4704105,289.6926779,289.934543,290.1969594,290.2022559,289.9357892,289.6284885,289.9720764,290.1752983,289.8453416,289.8200747,290.3285581
13,292.6389597,293.1406115,293.2394293,293.4896741,293.0255125,293.432821,293.1635001,293.4860216,292.9010898,293.0338099,292.9753478,292.7270525,293.2095275,293.2697767,293.2508608,293.6110457,293.6744391,293.4141843,292.8684475,293.5601377,293.7729729,293.3420708,293.2776144,293.883846
14,286.1408381,286.5099701,286.9470149,286.8118568,286.5615179,287.0118108,286.8540618,286.5764693,286.5351891,286.6427224,286.8834548,286.3543817,286.696555,286.9090216,286.7481218,287.0001091,287.0199474,286.9435251,286.4520097,287.0342738,287.4779722,287.0280247,286.9202763,287.5945018
15,292.9901,293.9096438,293.9208513,294.2763416,293.790421,293.8880614,293.8471527,294.2139281,293.5810525,293.5443834,293.8606108,293.7576806,293.7984314,293.8370957,293.9021507,294.1712748,294.4612114,294.2488849,293.4583061,294.442383,294.4963921,294.1762568,294.2309494,295.0359558
16,292.785196,293.3827247,293.6647163,293.6545204,293.1024991,293.4246709,293.2812545,293.4006909,292.9613493,293.2123343,293.3397115,292.9099139,293.2461746,293.4161163,293.5735074,293.90475,293.6908283,293.412399,293.4164486,293.7189329,293.8986791,293.908855,293.6810503,294.1092518
